Month,Day,Year,River,Latitude,Longitude,AnimalID,Occurrence,FL,TL,WT,SEX,Transmitter
6,3,2010,CR,30.45014,85.89869,lone_6348,1,129,145,14.6,F,47988
6,3,2010,CR,30.450139,85.898694,12534,2,128,141,14.5,U,47990
6,3,2010,CR,30.450139,85.898694,11609,2,139,152,22.1,U,47991
6,3,2010,CR,30.450139,85.898694,14542,1,133,148,18.4,M,47987
6,3,2010,CR,30.45014,85.89869,lone_8686,1,138,152,22.5,U,47989
8,31,2010,ER,30.6695,87.267,9961,2,138,152,22,U,46431
8,31,2010,ER,30.6695,87.267,lone_2081,1,135,145,20.3,U,46429
9,1,2010,YR,30.5823,86.9126,lone_11591,1,174,193,43.65,F,46435
9,1,2010,YR,30.5818,86.9051,lone_11592,1,128,137,15.65,U,46433
9,1,2010,YR,30.5825,86.9124,14679,2,138,156,20.55,U,46437
9,1,2010,YR,30.5818,86.9052,14236,3,133,144,18.85,U,46439
9,1,2010,YR,30.5812,86.918,11251,2,187,194,46.86,U,46428
9,2,2010,BR,30.6528,86.9923,14709,1,116,135,14.1,U,46430
9,2,2010,BR,30.6528,86.9923,lone_2810,1,140,160,24.7,U,46432
9,2,2010,BR,30.6528,86.9923,lone_6441,1,163,174,33.1,U,46434
9,2,2010,BR,30.6528,86.9923,14719,1,127,138,16.4,U,46436
9,2,2010,BR,30.6528,86.9923,lone_6455,1,133,152,18.9,U,46438
9,8,2010,YR,30.5817,86.9054,lone_6451,1,178,194,44,U,46456
9,8,2010,YR,30.5817,86.9054,lone_1900,1,132,145,16.9,U,46457
9,8,2010,YR,30.5817,86.9054,lone_11598,1,151,164,,U,46454
9,9,2010,PR,30.64967,88.64439,lone_4855,1,106,119,8.9,U,46576
9,9,2010,PR,30.65107,88.64526,lone_8680,1,53,57.5,0.75,U,46574
9,9,2010,PR,30.65107,88.64526,14736,1,51,57,0.7,U,46569
9,9,2010,ER,30.6546,87.2638,lone_4184,1,190,205,62.05,F,46452
9,9,2010,ER,30.6692,87.2665,lone_7268,1,139,150,20.2,U,46455
9,9,2010,ER,30.6692,87.2665,lone_1901,1,161,177,31.1,U,46453
9,9,2010,ER,30.6556,87.2639,lone_4185,1,132,149,18.4,U,46450
9,9,2010,ER,30.6558,87.2639,11780,2,135,151,20.4,U,46448
9,9,2010,ER,30.6547,87.2639,11597,2,145,156,26.5,U,46449
9,9,2010,ER,30.6683,87.2665,lone_4187,1,150,160,22.9,U,46451
9,9,2010,ER,30.6693,87.2663,11532,2,127,140,,U,46446
9,9,2010,ER,30.6693,87.2663,lone_1912,1,145,157,25.9,U,46447
9,10,2010,BR,30.6526,86.9928,11890,2,138,152,21.25,U,46419
9,10,2010,BR,30.6526,86.9928,lone_11603,1,165,185,45,U,46421
9,10,2010,BR,30.6524,86.9921,12119,2,174,197,44,F,46425
9,10,2010,BR,30.6524,86.9921,14281,2,188,207,56,F,46423
9,10,2010,BR,30.6526,86.9923,9990,2,153,171,,F,46420
9,10,2010,BR,30.6526,86.9923,11706,2,147,165,22.8,U,46427
9,13,2010,PR,30.65122,88.64494,lone_11907,1,57,67,1.02,U,46571
9,27,2010,SR,29.50241,82.94464,lone_4252,1,166.8,185.6,43,F,46152
9,27,2010,SR,29.50241,82.94464,8366,2,152,169.8,33,F,46153
9,27,2010,SR,29.50241,82.94464,lone_6684,1,145.2,162,29,M,46154
9,27,2010,SR,29.60618,82.96781,lone_4245,1,171.4,188.6,45,U,46158
9,27,2010,SR,29.60618,82.96781,7107,2,166,184.6,38,U,46156
9,27,2010,SR,29.60618,82.96781,lone_5543,1,146.6,162.2,24.1,U,46157
9,27,2010,SR,29.60618,82.96781,lone_5549,1,139.8,156,25,U,46160
9,27,2010,SR,29.60618,82.96781,lone_5552,1,142.4,157.8,29,U,46161
9,27,2010,SR,29.60618,82.96781,lone_4244,1,173.6,196.4,45,U,46159
9,27,2010,SR,29.60618,82.96781,lone_5558,1,143,157.8,24,U,46155
9,27,2010,SR,29.60618,82.96781,6875,2,174,195,41.5,U,46150
9,27,2010,SR,29.60618,82.96781,lone_4246,1,170.8,191.2,44.5,U,46149
9,27,2010,SR,29.60618,82.96781,lone_6114,1,163,182.4,35,U,46151
9,28,2010,PE,30.6192,89.84874,lone_11940,1,132,145.9,29.9,U,45746
9,28,2010,PE,30.61898,89.84921,lone_6084,1,162.5,173.5,47.7,U,45717
9,28,2010,PE,30.61898,89.84921,lone_4242,1,121,133,26.4,U,45765
9,28,2010,PE,30.61898,89.84921,lone_6461,1,120,137,25.9,U,45727
9,28,2010,YR,30.56221,86.97095,lone_6332,1,155,173,35.85,F,46443
9,30,2010,SR,29.60646,82.96822,lone_4813,1,151.6,169.8,32,M,46143
9,30,2010,SR,29.60646,82.96822,lone_7811,1,157.2,175.2,33.7,U,46142
9,30,2010,SR,29.60646,82.96822,7803,2,140.4,156.6,21,U,46144
9,30,2010,SR,29.60646,82.96822,lone_4809,1,153,170.6,28.5,U,46145
9,30,2010,SR,29.60656,82.9632,lone_11800,1,164.2,147,30,U,46146
9,30,2010,SR,29.60656,82.9632,4730,3,161.8,180.6,36.75,U,46147
9,30,2010,SR,29.60656,82.9632,lone_11801,1,137.2,153,21.25,U,46148
9,30,2010,PE,30.61897,89.849,lone_10612,1,123.5,140,10.7,U,45747
9,30,2010,YR,30.5631,86.9691,14218,3,130,142,16,U,46442
9,30,2010,YR,30.5631,86.9691,lone_5824,1,145,154,23.2,U,46445
10,1,2010,YR,30.56146,86.97156,14251,2,140,155,21.65,U,46217
10,1,2010,YR,30.56146,86.97156,lone_8629,1,133,148,17.4,U,46441
10,1,2010,YR,30.56146,86.97156,lone_4139,1,121,136,13.3,U,46216
10,1,2010,YR,30.56221,86.97095,lone_11364,1,139,149,21.7,U,46440
10,2,2010,YR,30.56315,86.96893,14239,2,140,155,19.21,U,46218
10,2,2010,YR,30.56315,86.96893,lone_10644,1,133,146,18.6,U,46222
10,2,2010,YR,30.56285,86.97014,lone_11120,1,174,187,34.86,U,46219
10,2,2010,YR,30.56305,86.96913,14801,1,156,173,29.1,U,46220
10,3,2010,YR,30.56205,86.97101,14143,2,184,195,47.8,U,46224
10,3,2010,YR,30.5615,86.97158,lone_7063,1,149,168,23.5,U,46221
10,5,2010,YR,30.56326,86.96922,lone_11958,1,134,149,19.5,U,46223
10,5,2010,YR,30.56326,86.96922,lone_8628,1,155.4,172.4,30.71,F,46164
10,5,2010,YR,30.56168,86.97162,14515,2,160,174,33.4,U,46169
10,6,2010,PE,30.61953,89.84868,lone_3274,1,157.8,171.5,32.9,U,45719
10,6,2010,PE,30.61953,89.84868,lone_3273,1,113,130,9.4,U,45749
10,6,2010,BR,30.65,86.9835,lone_11909,1,147,166,22.9,U,45759
10,6,2010,BR,30.65,86.9835,lone_11910,1,136,152,19.2,U,45725
10,6,2010,BR,30.65,86.9835,lone_11911,1,183,206,40.6,F,45766
10,6,2010,BR,30.65272,86.99281,lone_7576,1,200,216,66.9,F,45741
10,6,2010,BR,30.65272,86.99281,lone_2450,1,186,203,51.2,F,45738
10,6,2010,YR,30.56326,86.96922,9601,2,141,154,17.4,U,46165
10,6,2010,YR,30.56326,86.96922,lone_6221,1,161,181,,U,46163
10,6,2010,YR,30.56326,86.96922,9844,2,176,200,41.8,U,46123
10,6,2010,YR,30.56326,86.96922,14823,1,146,160,28.8,U,46166
10,6,2010,YR,30.56326,86.96922,lone_11955,1,150,166,25.2,U,46171
10,6,2010,YR,30.56318,86.9696,12137,2,138,154,18.4,U,46168
10,7,2010,PR,30.53519,88.591,lone_8614,1,147,158,23.6,U,46215
10,7,2010,PR,30.53398,88.59254,lone_4137,1,102,116,7.98,U,46567
10,7,2010,PE,30.61866,89.84917,lone_8396,1,119,135,11.7,U,45729
10,7,2010,BR,30.65273,86.99283,lone_3234,1,140,154,21.4,U,45750
10,7,2010,BR,30.65273,86.99283,lone_3236,1,148,162,22.65,U,45764
10,7,2010,BR,30.65242,86.99207,10004,2,143,162,24.2,U,45755
10,7,2010,BR,30.65242,86.99207,lone_11119,1,147,160,22.4,U,45716
10,7,2010,BR,30.65266,86.99274,lone_11121,1,142,154,21.9,U,45718
10,7,2010,BR,30.65251,86.99187,14484,2,167,181,39.1,F,45760
10,7,2010,BR,30.66276,86.99209,14104,5,176,192,44.3,F,45745
10,7,2010,BR,30.66276,86.99209,11431,4,158,178,,F,45768
10,7,2010,YR,30.56206,86.97102,lone_11588,1,146,157,21.75,U,4617?
10,9,2010,CR,30.45081,85.8989,lone_5551,1,187.7,204,54,F,45853
10,9,2010,CR,30.44996,85.89843,lone_5806,1,139.6,156.6,23,U,45854
10,9,2010,CR,30.45019,85.89827,12175,2,126,141,13.5,U,46033
10,9,2010,CR,30.45019,85.89827,12266,2,121,134,12,U,46039
10,9,2010,CR,30.44967,85.89888,lone_5541,1,114,123,11.2,U,46034
10,9,2010,CR,30.44967,85.89888,11849,2,138.4,153,21.8,U,45856
10,9,2010,CR,30.45007,85.89828,lone_8672,1,89,100,4.5,U,46035
10,9,2010,CR,30.45007,85.89828,11200,2,172.4,191,37.9,U,45857
10,9,2010,CR,30.45023,85.89839,12199,2,118,136,13.4,U,46036
10,9,2010,CR,30.45475,85.89772,12335,2,136,149,19.5,U,45860
10,9,2010,CR,30.45498,85.8978,lone_3311,1,186,200,54,U,45862
10,9,2010,CR,30.45084,85.89841,lone_5808,1,139,154,20.7,U,45855
10,11,2010,CR,30.45045,85.8986,lone_5804,1,140,158,19.5,U,45859
10,11,2010,CR,30.45535,85.89803,lone_3309,1,173,194,48,F,45858
10,11,2010,CR,30.45455,85.89767,12409,2,172,188,42,U,45861
10,11,2010,CR,30.455,85.89795,lone_3313,1,136,150,20,U,45863
10,11,2010,CR,30.45026,85.89854,lone_8679,1,169,184,47,U,45864
10,11,2010,CR,30.45026,85.89854,11359,2,111,120,10,U,46037
10,11,2010,CR,30.45026,85.89854,14855,1,131,146,17,U,45865
10,11,2010,CR,30.45459,85.89777,10484,3,147,163,21.5,U,45866
10,11,2010,CR,30.45459,85.89777,14856,1,144,165,29,U,45867
10,12,2010,CR,30.4503,85.89833,lone_7814,1,131,149,21,U,46182
10,12,2010,CR,30.4503,85.89833,lone_7816,1,128,144,15.5,U,46038
10,12,2010,CR,30.45633,85.89745,14859,1,133,146,20,U,46183
10,12,2010,CR,30.45572,85.89796,11256,3,135,150,21,U,46184
10,12,2010,CR,30.45572,85.89796,lone_10605,1,125,139,14.3,U,46040
10,12,2010,CR,30.45558,85.89788,11172,2,167,186,42,U,46185
10,12,2010,CR,30.45558,85.89788,lone_3315,1,181,198,57,F,46186
10,12,2010,CR,30.45563,85.89823,lone_3321,1,140,154,26,U,46187
10,12,2010,CR,30.4555,85.89808,14863,1,136,149,19.5,U,46188
10,12,2010,CR,30.45555,85.89796,lone_11791,1,152,164,32,U,46189
10,12,2010,CR,30.45555,85.89796,lone_11795,1,126,143,19,U,46041
10,12,2010,CR,30.45572,85.89814,lone_11797,1,143,158,23,U,46190
10,12,2010,CR,30.45572,85.89814,lone_11793,1,185,205,54,U,46191
10,12,2010,ER,30.6697,87.2669,lone_578,1,139,153,23,U,45754
10,12,2010,YR,30.56326,86.96922,,1,173,180,38.6,U,46225
10,13,2010,CR,30.45499,85.89783,lone_11798,1,165,185,42,U,46192
10,13,2010,CR,30.45488,85.89767,lone_11802,1,120,132,13,U,46042
10,13,2010,CR,30.45488,85.89767,lone_11792,1,160,184,42,F,46193
10,13,2010,CR,30.45031,85.89863,lone_6686,1,132,150,25,U,46194
10,13,2010,CR,30.45238,85.89723,lone_6682,1,127,140,25,U,46043
10,13,2010,CR,30.45423,85.89733,lone_11143,1,147,164,28,U,46195
10,13,2010,CR,30.45416,85.89767,lone_4254,1,177,194,50,U,46236
10,13,2010,CR,30.45053,85.898322,lone_4620,1,105,115,11.5,U,46044
10,13,2010,CR,30.454,85.897423,lone_4294,1,125,144,13.5,U,46045
10,13,2010,CR,30.45425,85.89765,lone_4798,1,125,144,13,U,46046
10,13,2010,CR,30.45425,85.89765,lone_11933,1,105,118,8,U,46047
10,13,2010,CR,30.45425,85.89765,lone_6551,1,126,143,15,U,46048
10,13,2010,PE,30.61125,89.84663,lone_10613,1,170,186,43.6,,45720
10,13,2010,PE,30.61149,89.84799,lone_2150,1,148,132,16.5,,45721
10,13,2010,YR,30.56206,86.97102,14086,3,140,151,22,U,45740
10,13,2010,ER,30.67295,87.26794,lone_572,1,111,122,9.5,U,45709
10,13,2010,ER,30.67205,87.26628,lone_11700,1,143,160,19.5,U,45762
10,13,2010,ER,30.66929,87.26643,10288,2,183,193,,U,45733
10,13,2010,ER,30.66986,87.26668,lone_11701,1,131,141,16.5,U,45732
10,13,2010,ER,30.66986,87.26668,14901,1,138,154,21,U,45756
10,13,2010,ER,30.66887,87.2674,lone_6815,1,157,175,35,U,45710
10,13,2010,ER,30.66887,87.26676,lone_6808,1,153,167,22.5,U,45712
10,14,2010,CR,30.4507,85.89841,lone_11804,1,99,101,7,U,46049
10,14,2010,CR,30.45493,85.89792,11294,4,118,137,19,U,46050
10,14,2010,CR,30.45057,85.89847,lone_7173,1,104,119,,U,46051
10,14,2010,CR,30.45468,85.89755,lone_11803,1,113,127,11,U,46052
10,14,2010,ER,30.66952,87.26646,11783,2,141,153,21,,45724
10,14,2010,ER,30.6546,87.26361,lone_6143,1,137,150,17.6,,45757
10,14,2010,ER,30.67096,87.26704,lone_5566,1,143,159,23.3,,45744
10,14,2010,ER,30.67096,87.26704,lone_5569,1,103,112,6.8,,45715
10,14,2010,ER,30.67096,87.26704,14920,1,120,130,14.4,,45761
10,15,2010,PE,30.61124,89.85165,lone_11794,1,148,167,24.2,,45767
10,15,2010,BR,30.65251,86.99175,14290,3,175,190,52.1,F,45758
10,15,2010,BR,30.65251,86.99175,lone_10389,1,121,130,12.2,U,45739
10,15,2010,BR,30.65251,86.99175,14923,1,142,156,22.4,F,45734
10,15,2010,BR,30.65251,86.99175,lone_8687,1,158,170,33.76,U,45730
10,15,2010,BR,30.65251,86.99175,lone_10393,1,135,151,23,F,45743
10,15,2010,BR,30.65251,86.99175,lone_10397,1,175,200,45.6,F,45723
10,15,2010,BR,30.65251,86.99175,lone_10399,1,120,133,13.8,U,45763
10,19,2010,ER,30.67101,87.26711,14931,1,121,131,12,,45726
10,19,2010,ER,30.67101,87.26711,12557,2,142,154,20.7,,45722
10,19,2010,ER,30.67101,87.26711,14737,2,109,120,7,,45713
10,19,2010,ER,30.67182,87.26666,lone_11848,1,148,160,22,,45751
10,19,2010,ER,30.67182,87.26666,lone_11916,1,107,115,8,,45736
10,19,2010,ER,30.67071,87.26714,lone_8630,1,127,140,16.3,,45735
10,20,2010,AR,29.83641,85.03168,8708,3,150,169,25.6,U,46228
10,20,2010,AR,29.83657,85.03243,9242,2,154,163,27.35,U,46233
10,20,2010,AR,29.83657,85.03243,lone_7166,1,145,151,23.75,U,46232
10,20,2010,AR,29.83648,85.03194,lone_5550,1,146,158,28.35,U,46231
10,20,2010,PR,30.5333,88.58884,lone_7310,1,114,126,10.94,U,45655
10,24,2010,AR,29.8372,85.03225,lone_11920,1,177,190,46.9,F,46175
10,24,2010,AR,29.8382,85.03191,lone_4308,1,140,153,20.1,U,46226
10,25,2010,AR,29.83809,85.03153,lone_4163,1,152,162,19.9,U,46173
10,26,2010,AR,29.83787,85.03186,lone_5816,1,135,149,19.35,U,46227
10,26,2010,AR,29.83674,85.03152,lone_6340,1,188,207,55.36,F,46176
10,26,2010,AR,29.83674,85.03152,8756,4,159,177,33.79,U,46180
10,27,2010,PR,30.65336,88.64927,14125,2,138.5,152,18.8,U,46573
10,29,2010,PR,30.53567,88.591,14950,1,93,105,4.56,U,46575
10,29,2010,AR,29.83786,85.03204,lone_8632,1,139,151,21.45,U,46230
10,30,2010,AR,29.83703,85.03175,12109,2,125,142,16.7,U,46174
10,30,2010,AR,29.83628,85.03193,10535,2,141,151,20.95,U,46234
11,2,2010,AR,29.83602,85.03203,lone_4170,1,143,158,25.8,U,46229
11,2,2010,AR,29.8366,85.03188,lone_5314,1,137,150,18,U,46179
11,3,2010,PR,30.53717,88.58979,lone_8619,1,98,109,6.18,U,46568
11,3,2010,PR,30.53717,88.58979,14966,1,87,95,3.76,U,46572
11,3,2010,PR,30.53645,88.59049,lone_8608,1,105,118,8.78,U,45656
11,3,2010,PR,30.53413,88.59234,lone_8393,1,53.5,60,7.2,U,45652
