Month,Day,Year,Time,Receiver,Transmitter
3,14,2011,1:42,100956,62264
3,14,2011,1:47,100956,62264
3,14,2011,1:52,100956,62264
3,14,2011,1:57,100956,62264
3,14,2011,2:00,100956,62264
3,20,2011,17:45,100956,62264
3,20,2011,17:49,100956,62264
3,21,2011,8:57,100956,62264
3,21,2011,9:01,100956,62264
3,21,2011,9:06,100956,62264
3,21,2011,23:02,100956,45767
3,21,2011,23:08,100956,45767
3,21,2011,23:13,100956,45767
3,21,2011,23:14,100956,45767
3,21,2011,23:16,100956,45767
3,21,2011,23:18,100956,45767
3,21,2011,23:21,100956,45767
3,21,2011,23:22,100956,45767
3,21,2011,23:24,100956,45767
3,21,2011,23:25,100956,45767
3,21,2011,23:26,100956,45767
3,21,2011,23:28,100956,45767
3,21,2011,23:28,100956,45767
3,21,2011,23:29,100956,45767
3,21,2011,23:30,100956,45767
3,21,2011,23:31,100956,45767
3,21,2011,23:32,100956,45767
3,21,2011,23:33,100956,45767
3,21,2011,23:34,100956,45767
3,21,2011,23:35,100956,45767
3,21,2011,23:36,100956,45767
3,21,2011,23:37,100956,45767
3,21,2011,23:40,100956,45767
3,21,2011,23:41,100956,45767
3,21,2011,23:42,100956,45767
3,21,2011,23:44,100956,45767
3,22,2011,5:54,100956,45767
3,22,2011,5:56,100956,45767
3,22,2011,6:00,100956,45767
3,22,2011,6:01,100956,45767
3,22,2011,6:04,100956,45767
3,22,2011,6:05,100956,45767
3,22,2011,6:07,100956,45767
3,22,2011,6:09,100956,45767
3,22,2011,17:43,100956,45767
3,22,2011,17:51,100956,45767
3,22,2011,18:09,100956,45767
3,22,2011,20:35,100956,45767
3,22,2011,20:44,100956,45767
3,22,2011,20:46,100956,45767
3,22,2011,20:48,100956,45767
3,22,2011,20:49,100956,45767
3,22,2011,20:51,100956,45767
3,22,2011,20:52,100956,45767
3,22,2011,20:53,100956,45767
3,22,2011,20:54,100956,45767
3,22,2011,20:55,100956,45767
3,22,2011,20:57,100956,45767
3,22,2011,20:59,100956,45767
3,22,2011,21:01,100956,45767
3,22,2011,21:03,100956,45767
3,22,2011,21:06,100956,45767
3,22,2011,21:08,100956,45767
3,22,2011,21:10,100956,45767
3,22,2011,21:17,100956,45767
3,22,2011,21:22,100956,45767
3,22,2011,21:28,100956,45767
3,23,2011,2:15,100956,45767
3,23,2011,2:17,100956,45767
3,23,2011,2:21,100956,45767
3,23,2011,2:23,100956,45767
3,23,2011,2:24,100956,45767
3,25,2011,16:11,100956,45719
3,25,2011,16:12,100956,45719
3,25,2011,16:14,100956,45719
3,25,2011,16:20,100956,45719
3,25,2011,16:25,100956,45719
3,25,2011,16:27,100956,45719
3,25,2011,16:29,100956,45719
3,25,2011,16:31,100956,45719
3,25,2011,16:32,100956,45719
3,25,2011,16:34,100956,45719
3,25,2011,16:36,100956,45719
3,25,2011,16:38,100956,45719
3,25,2011,16:39,100956,45719
3,25,2011,16:41,100956,45719
3,25,2011,16:42,100956,45719
3,25,2011,16:44,100956,45719
3,25,2011,16:46,100956,45719
3,25,2011,16:47,100956,45719
3,25,2011,16:48,100956,45719
3,25,2011,16:50,100956,45719
3,25,2011,16:51,100956,45719
3,26,2011,4:50,100956,45719
3,26,2011,4:52,100956,45719
3,26,2011,4:53,100956,45719
3,26,2011,4:54,100956,45719
3,26,2011,4:55,100956,45719
3,26,2011,4:56,100956,45719
3,26,2011,4:58,100956,45719
3,26,2011,5:00,100956,45719
3,26,2011,5:02,100956,45719
3,26,2011,5:04,100956,45719
3,26,2011,5:05,100956,45719
3,26,2011,5:08,100956,45719
3,26,2011,5:10,100956,45719
3,26,2011,5:11,100956,45719
3,26,2011,5:12,100956,45719
3,26,2011,5:14,100956,45719
3,26,2011,5:16,100956,45719
3,26,2011,5:18,100956,45719
3,26,2011,5:20,100956,45719
3,26,2011,5:21,100956,45719
3,26,2011,5:22,100956,45719
3,26,2011,5:23,100956,45719
3,26,2011,5:39,100956,45719
4,4,2011,8:11,100956,45749
4,4,2011,8:12,100956,45749
4,4,2011,8:13,100956,45749
4,4,2011,8:14,100956,45749
4,4,2011,8:16,100956,45749
4,4,2011,8:17,100956,45749
4,4,2011,8:18,100956,45749
4,4,2011,8:19,100956,45749
4,4,2011,8:21,100956,45749
4,4,2011,8:22,100956,45749
4,4,2011,8:23,100956,45749
4,4,2011,8:24,100956,45749
4,4,2011,8:26,100956,45749
4,4,2011,8:34,100956,45749
4,4,2011,8:36,100956,45749
4,4,2011,8:38,100956,45749
4,4,2011,8:39,100956,45749
4,4,2011,8:40,100956,45749
4,4,2011,8:41,100956,45749
4,4,2011,8:42,100956,45749
4,4,2011,8:44,100956,45749
4,4,2011,8:46,100956,45749
4,4,2011,8:48,100956,45749
4,4,2011,8:49,100956,45749
4,4,2011,8:51,100956,45749
4,4,2011,8:54,100956,45749
4,4,2011,8:56,100956,45749
4,4,2011,8:57,100956,45749
4,4,2011,8:59,100956,45749
4,4,2011,9:01,100956,45749
4,4,2011,9:03,100956,45749
4,4,2011,9:05,100956,45749
4,4,2011,9:07,100956,45749
4,4,2011,9:09,100956,45749
4,4,2011,9:10,100956,45749
4,4,2011,9:13,100956,45749
4,4,2011,9:14,100956,45749
4,7,2011,20:21,100956,45749
4,7,2011,20:29,100956,45749
4,7,2011,20:32,100956,45749
4,7,2011,20:34,100956,45749
4,7,2011,20:38,100956,45749
4,7,2011,20:39,100956,45749
