VEMCO TAG,YEAR TAGGED,AR,BR,CR,ER,OR,PE,PR,SR,YR,NOAA 2011,NOAA 2010
2634,2011,,,,,,,1,,,,
2635,2011,,,,,,,1,,,,
2636,2011,,,,,,,1,,,,
2639,2011,,,,,,,1,,,,
2640,2011,,,,,,,1,,,,
6505,2011,,,,,1,,,,,,
6506,2011,,,,,1,,,,,,
6507,2011,,,,,1,,,,,,
6508,2011,,,,,1,,,,,,
6509,2011,,,,,1,,,,,,
6512,2011,,,,,1,,,,,,
6513,2011,,,,,1,,,,,,
19298,2011,,,,,1,,,,,,
19300,2011,,,,,1,,,,,,
19301,2011,,,,,1,,,,,,
19302,2011,,,,,1,,,,,,
19303,2011,,,,,1,,,,,,
19304,2011,,,,,1,,,,,,
19305,2011,,,,,1,,,,,,
19306,2011,,,,,1,,,,,,
19307,2011,,,,,1,,,,,,
29956,2011,1,,,,,,,,,,
29957,2011,1,,,,,,,,,,
29958,2011,1,,,,,,,,,,
29959,2011,1,,,,,,,,,,
29960,2011,1,,,,,,,,,,
29961,2011,1,,,,,,,,,,
29962,2011,1,,,,,,,,,,
29963,2011,1,,,,,,,,,,
29964,2011,1,,,,,,,,,,
29965,2011,1,,,,,,,,,,
29966,2011,1,,,,,,,,,,
29967,2011,1,,,,,,,,,,
30528,2011,,1,,,,,,,,,
30529,2011,,1,,,,,,,,,
30530,2011,,1,,,,,,,,,
30531,2011,,1,,,,,,,,,
30532,2011,,1,,,,,,,,,
30533,2011,,1,,,,,,,,,
30534,2011,,1,,,,,,,,,
30535,2011,,1,,,,,,,,,
30536,2011,,1,,,,,,,,,
30537,2011,,1,,,,,,,,,
30538,2011,,1,,,,,,,,,
30539,2011,,1,,,,,,,,,
30540,2011,,1,,,,,,,,,
30541,2011,,1,,,,,,,,,
30542,2011,,1,,,,,,,,,
30543,2011,,1,,,,,,,,,
30544,2011,,1,,,,,,,,,
30545,2011,,1,,,,,,,,,
30546,2011,,1,,,,,,,,,
