Month,Day,Year,Time,Receiver,Transmitter
2,19,2012,2:03,109204,61009
2,19,2012,2:04,109204,61009
2,19,2012,2:06,109204,61009
2,19,2012,2:09,109204,61009
2,19,2012,2:14,109204,61009
2,19,2012,2:20,109204,61009
2,19,2012,2:24,109204,61009
2,19,2012,2:42,109204,61009
2,19,2012,2:43,109204,61009
2,19,2012,2:44,109204,61009
2,19,2012,2:45,109204,61009
2,19,2012,2:46,109204,61009
2,19,2012,2:47,109204,61009
2,19,2012,2:50,109204,61009
2,19,2012,2:51,109204,61009
2,19,2012,2:54,109204,61009
2,19,2012,3:01,109204,61009
2,19,2012,3:01,109204,61009
2,19,2012,4:17,109204,61009
2,19,2012,4:18,109204,61009
2,19,2012,4:20,109204,61009
2,19,2012,4:22,109204,61009
2,19,2012,4:23,109204,61009
2,19,2012,4:25,109204,61009
2,19,2012,4:26,109204,61009
2,19,2012,4:27,109204,61009
2,19,2012,4:28,109204,61009
2,19,2012,4:30,109204,61009
2,19,2012,4:30,109204,61009
2,19,2012,4:32,109204,61009
2,19,2012,4:33,109204,61009
2,19,2012,4:34,109204,61009
2,19,2012,4:35,109204,61009
2,19,2012,4:37,109204,61009
2,19,2012,4:37,109204,61009
2,19,2012,4:39,109204,61009
2,19,2012,4:40,109204,61009
2,19,2012,4:41,109204,61009
2,19,2012,4:42,109204,61009
2,19,2012,4:43,109204,61009
2,19,2012,4:44,109204,61009
2,19,2012,4:45,109204,61009
2,19,2012,4:46,109204,61009
2,19,2012,4:48,109204,61009
2,19,2012,4:49,109204,61009
2,19,2012,4:50,109204,61009
2,19,2012,4:52,109204,61009
2,19,2012,4:52,109204,61009
2,19,2012,4:53,109204,61009
2,19,2012,4:54,109204,61009
2,19,2012,4:55,109204,61009
2,19,2012,4:57,109204,61009
2,19,2012,4:58,109204,61009
2,19,2012,4:59,109204,61009
2,19,2012,5:00,109204,61009
2,19,2012,5:01,109204,61009
2,19,2012,5:02,109204,61009
2,19,2012,5:03,109204,61009
2,19,2012,5:05,109204,61009
2,19,2012,5:06,109204,61009
2,19,2012,5:07,109204,61009
2,19,2012,5:08,109204,61009
2,19,2012,5:09,109204,61009
2,19,2012,5:10,109204,61009
2,19,2012,5:11,109204,61009
2,19,2012,5:12,109204,61009
2,19,2012,5:13,109204,61009
2,19,2012,5:13,109204,61009
2,19,2012,5:14,109204,61009
2,19,2012,5:15,109204,61009
2,19,2012,5:16,109204,61009
2,19,2012,5:17,109204,61009
2,19,2012,5:18,109204,61009
2,19,2012,5:19,109204,61009
2,19,2012,5:19,109204,61009
2,19,2012,5:20,109204,61009
2,19,2012,5:21,109204,61009
2,19,2012,5:22,109204,61009
2,19,2012,5:23,109204,61009
2,19,2012,5:23,109204,61009
2,19,2012,5:24,109204,61009
2,19,2012,5:26,109204,61009
2,19,2012,5:27,109204,61009
2,19,2012,5:29,109204,61009
2,19,2012,5:30,109204,61009
2,19,2012,5:31,109204,61009
2,19,2012,5:32,109204,61009
2,19,2012,5:33,109204,61009
2,19,2012,5:35,109204,61009
2,19,2012,5:36,109204,61009
2,19,2012,5:38,109204,61009
2,19,2012,5:39,109204,61009
2,19,2012,5:40,109204,61009
2,19,2012,5:41,109204,61009
2,19,2012,5:41,109204,61009
2,19,2012,5:42,109204,61009
2,19,2012,5:43,109204,61009
2,19,2012,5:43,109204,61009
2,19,2012,5:44,109204,61009
2,19,2012,5:46,109204,61009
2,19,2012,5:47,109204,61009
2,19,2012,5:47,109204,61009
2,19,2012,5:48,109204,61009
2,19,2012,5:49,109204,61009
2,19,2012,5:50,109204,61009
2,19,2012,5:51,109204,61009
2,19,2012,5:52,109204,61009
2,19,2012,5:53,109204,61009
2,19,2012,5:55,109204,61009
2,19,2012,5:56,109204,61009
2,19,2012,5:57,109204,61009
2,19,2012,5:58,109204,61009
2,19,2012,5:58,109204,61009
2,19,2012,5:59,109204,61009
2,19,2012,6:00,109204,61009
2,19,2012,6:00,109204,61009
2,19,2012,6:01,109204,61009
2,19,2012,6:02,109204,61009
2,19,2012,6:03,109204,61009
2,19,2012,6:03,109204,61009
2,19,2012,6:04,109204,61009
2,19,2012,6:05,109204,61009
2,19,2012,6:06,109204,61009
2,19,2012,6:06,109204,61009
2,19,2012,6:07,109204,61009
2,19,2012,6:08,109204,61009
2,19,2012,6:08,109204,61009
2,19,2012,6:09,109204,61009
2,19,2012,6:09,109204,61009
2,19,2012,6:10,109204,61009
2,19,2012,6:11,109204,61009
2,19,2012,6:12,109204,61009
2,19,2012,6:13,109204,61009
2,19,2012,6:15,109204,61009
2,19,2012,6:16,109204,61009
2,19,2012,6:16,109204,61009
2,19,2012,6:17,109204,61009
2,19,2012,6:17,109204,61009
2,19,2012,6:18,109204,61009
2,19,2012,6:18,109204,61009
2,19,2012,6:19,109204,61009
2,19,2012,6:20,109204,61009
2,19,2012,6:20,109204,61009
2,19,2012,6:21,109204,61009
2,19,2012,6:22,109204,61009
2,19,2012,6:23,109204,61009
2,19,2012,6:23,109204,61009
2,19,2012,6:24,109204,61009
2,19,2012,6:25,109204,61009
2,19,2012,6:26,109204,61009
2,19,2012,6:27,109204,61009
2,19,2012,6:27,109204,61009
2,19,2012,6:28,109204,61009
2,19,2012,6:29,109204,61009
2,19,2012,6:30,109204,61009
2,19,2012,6:31,109204,61009
2,19,2012,6:32,109204,61009
2,19,2012,6:33,109204,61009
2,19,2012,6:35,109204,61009
2,19,2012,6:37,109204,61009
2,19,2012,6:38,109204,61009
2,19,2012,6:39,109204,61009
2,19,2012,6:41,109204,61009
2,19,2012,6:41,109204,61009
2,19,2012,6:43,109204,61009
2,19,2012,6:43,109204,61009
2,19,2012,6:44,109204,61009
2,19,2012,6:46,109204,61009
2,19,2012,6:47,109204,61009
2,19,2012,6:48,109204,61009
