Month,Day,Year,Time,Receiver,Transmitter
3,8,2011,22:17,106133,61039
3,8,2011,22:24,106133,61039
3,8,2011,22:39,106133,61039
3,8,2011,22:45,106133,61039
3,8,2011,22:46,106133,61039
3,8,2011,22:55,106133,61039
3,8,2011,22:57,106133,61039
3,8,2011,23:00,106133,61039
3,8,2011,23:03,106133,61039
3,8,2011,23:10,106133,61039
3,8,2011,23:11,106133,61039
3,8,2011,23:13,106133,61039
3,8,2011,23:16,106133,61039
3,8,2011,23:30,106133,61039
3,8,2011,23:45,106133,61039
3,8,2011,23:48,106133,61039
3,8,2011,23:52,106133,61039
3,8,2011,23:56,106133,61039
3,9,2011,3:50,106133,61039
3,9,2011,3:51,106133,61039
3,9,2011,3:52,106133,61039
3,9,2011,4:01,106133,61039
3,9,2011,4:24,106133,61039
3,9,2011,4:28,106133,61039
3,9,2011,4:32,106133,61039
3,9,2011,4:36,106133,61039
3,9,2011,4:37,106133,61039
3,9,2011,4:38,106133,61039
3,9,2011,4:40,106133,61039
3,9,2011,4:41,106133,61039
3,9,2011,4:42,106133,61039
3,9,2011,4:43,106133,61039
3,9,2011,4:43,106133,61039
3,9,2011,4:44,106133,61039
3,9,2011,4:46,106133,61039
3,9,2011,4:47,106133,61039
3,9,2011,4:48,106133,61039
3,9,2011,4:49,106133,61039
3,9,2011,4:50,106133,61039
3,9,2011,4:52,106133,61039
3,9,2011,4:53,106133,61039
3,9,2011,4:54,106133,61039
3,9,2011,4:55,106133,61039
3,9,2011,4:57,106133,61039
3,9,2011,4:58,106133,61039
3,9,2011,4:59,106133,61039
3,9,2011,4:59,106133,61039
3,9,2011,5:00,106133,61039
3,9,2011,5:01,106133,61039
3,9,2011,5:02,106133,61039
3,9,2011,5:03,106133,61039
3,9,2011,5:04,106133,61039
3,9,2011,5:05,106133,61039
3,9,2011,5:05,106133,61039
3,9,2011,5:07,106133,61039
3,9,2011,5:07,106133,61039
3,9,2011,5:08,106133,61039
3,9,2011,5:09,106133,61039
3,9,2011,5:10,106133,61039
3,9,2011,5:11,106133,61039
3,9,2011,5:13,106133,61039
3,9,2011,5:14,106133,61039
3,9,2011,5:16,106133,61039
3,9,2011,5:17,106133,61039
3,9,2011,5:19,106133,61039
3,9,2011,5:20,106133,61039
3,9,2011,5:21,106133,61039
3,9,2011,5:23,106133,61039
3,9,2011,5:24,106133,61039
3,9,2011,5:25,106133,61039
3,9,2011,5:26,106133,61039
3,9,2011,5:27,106133,61039
3,9,2011,5:28,106133,61039
3,9,2011,5:29,106133,61039
3,9,2011,5:30,106133,61039
3,9,2011,5:31,106133,61039
3,9,2011,5:32,106133,61039
3,9,2011,5:33,106133,61039
3,9,2011,5:34,106133,61039
3,9,2011,5:35,106133,61039
3,9,2011,5:36,106133,61039
3,9,2011,5:38,106133,61039
3,9,2011,5:39,106133,61039
3,9,2011,5:40,106133,61039
3,9,2011,5:41,106133,61039
3,9,2011,5:42,106133,61039
3,9,2011,5:43,106133,61039
3,9,2011,5:45,106133,61039
3,9,2011,5:46,106133,61039
3,9,2011,5:47,106133,61039
3,9,2011,5:47,106133,61039
3,9,2011,5:49,106133,61039
3,9,2011,5:49,106133,61039
3,9,2011,5:50,106133,61039
3,9,2011,5:52,106133,61039
3,9,2011,5:53,106133,61039
3,9,2011,5:54,106133,61039
3,9,2011,5:55,106133,61039
3,9,2011,5:56,106133,61039
3,9,2011,5:57,106133,61039
3,9,2011,5:58,106133,61039
3,9,2011,5:59,106133,61039
3,9,2011,6:00,106133,61039
3,9,2011,6:01,106133,61039
3,9,2011,6:02,106133,61039
3,9,2011,6:02,106133,61039
3,9,2011,6:03,106133,61039
3,9,2011,6:04,106133,61039
3,9,2011,6:04,106133,61039
3,9,2011,6:05,106133,61039
3,9,2011,6:06,106133,61039
3,9,2011,6:07,106133,61039
3,9,2011,6:08,106133,61039
3,9,2011,6:09,106133,61039
3,9,2011,6:10,106133,61039
3,9,2011,6:11,106133,61039
3,9,2011,6:12,106133,61039
3,9,2011,6:13,106133,61039
3,9,2011,6:15,106133,61039
3,9,2011,6:16,106133,61039
3,9,2011,6:18,106133,61039
3,9,2011,6:19,106133,61039
3,9,2011,6:21,106133,61039
3,9,2011,6:22,106133,61039
3,9,2011,6:23,106133,61039
3,9,2011,6:24,106133,61039
3,9,2011,6:25,106133,61039
3,9,2011,6:26,106133,61039
3,9,2011,6:27,106133,61039
3,9,2011,6:30,106133,61039
3,9,2011,6:32,106133,61039
3,9,2011,6:33,106133,61039
3,9,2011,6:33,106133,61039
3,9,2011,6:34,106133,61039
3,9,2011,6:35,106133,61039
3,9,2011,6:35,106133,61039
3,9,2011,6:37,106133,61039
3,9,2011,6:37,106133,61039
3,9,2011,6:38,106133,61039
3,9,2011,6:39,106133,61039
3,9,2011,6:40,106133,61039
3,9,2011,6:41,106133,61039
3,9,2011,6:42,106133,61039
3,9,2011,6:43,106133,61039
3,9,2011,6:45,106133,61039
3,9,2011,7:57,106133,46168
3,9,2011,8:00,106133,46168
3,9,2011,8:02,106133,46168
3,9,2011,8:04,106133,46168
3,9,2011,8:05,106133,46168
3,9,2011,8:06,106133,46168
3,9,2011,8:08,106133,46168
3,9,2011,8:09,106133,46168
3,9,2011,8:11,106133,46168
3,9,2011,8:13,106133,46168
3,9,2011,8:15,106133,46168
3,9,2011,8:17,106133,46168
3,9,2011,8:19,106133,46168
3,9,2011,8:20,106133,46168
3,9,2011,8:22,106133,46168
3,9,2011,8:23,106133,46168
3,9,2011,8:24,106133,46168
3,9,2011,8:25,106133,46168
3,9,2011,8:26,106133,46168
3,9,2011,8:28,106133,46168
3,9,2011,8:30,106133,46168
3,9,2011,8:32,106133,46168
3,9,2011,8:34,106133,46168
3,9,2011,8:35,106133,46168
3,9,2011,8:37,106133,46168
3,9,2011,8:38,106133,46168
3,9,2011,8:40,106133,46168
3,9,2011,8:41,106133,46168
3,9,2011,8:43,106133,46168
3,9,2011,8:44,106133,46168
3,9,2011,8:45,106133,46168
3,9,2011,8:46,106133,46168
3,9,2011,8:48,106133,46168
3,9,2011,8:50,106133,46168
3,9,2011,8:52,106133,46168
3,9,2011,8:53,106133,46168
3,9,2011,8:55,106133,46168
3,9,2011,8:56,106133,46168
3,9,2011,8:57,106133,46168
3,9,2011,8:58,106133,46168
3,9,2011,8:59,106133,46168
3,9,2011,9:01,106133,46168
3,9,2011,9:03,106133,46168
3,9,2011,9:05,106133,46168
3,9,2011,9:07,106133,46168
3,9,2011,9:09,106133,46168
3,9,2011,9:10,106133,46168
3,9,2011,9:12,106133,46168
3,9,2011,9:14,106133,46168
3,9,2011,9:15,106133,46168
3,9,2011,9:17,106133,46168
3,9,2011,9:18,106133,46168
3,9,2011,9:19,106133,46168
3,9,2011,9:27,106133,46168
3,9,2011,9:29,106133,46168
3,9,2011,9:30,106133,46168
3,9,2011,9:31,106133,46168
3,9,2011,9:33,106133,46168
3,9,2011,9:35,106133,46168
3,9,2011,9:36,106133,46168
3,9,2011,9:38,106133,46168
3,9,2011,9:40,106133,46168
3,9,2011,9:41,106133,46168
3,9,2011,9:43,106133,46168
3,9,2011,9:44,106133,46168
3,9,2011,9:46,106133,46168
3,9,2011,9:47,106133,46168
3,9,2011,9:49,106133,46168
3,9,2011,9:51,106133,46168
3,9,2011,9:53,106133,46168
3,9,2011,9:57,106133,46168
3,9,2011,10:07,106133,46168
3,11,2011,9:05,106133,61039
3,11,2011,9:08,106133,61039
3,11,2011,9:08,106133,61039
3,11,2011,9:09,106133,61039
3,11,2011,9:10,106133,61039
3,11,2011,9:11,106133,61039
3,11,2011,9:12,106133,61039
3,11,2011,9:13,106133,61039
3,11,2011,9:14,106133,61039
3,11,2011,9:15,106133,61039
3,11,2011,9:16,106133,61039
3,11,2011,9:18,106133,61039
3,11,2011,9:19,106133,61039
3,11,2011,9:20,106133,61039
3,11,2011,9:21,106133,61039
3,11,2011,9:22,106133,61039
3,11,2011,9:22,106133,61039
3,11,2011,9:23,106133,61039
3,11,2011,9:25,106133,61039
3,11,2011,9:26,106133,61039
3,11,2011,9:27,106133,61039
3,11,2011,9:28,106133,61039
3,11,2011,9:29,106133,61039
3,11,2011,9:30,106133,61039
3,11,2011,9:31,106133,61039
3,11,2011,9:33,106133,61039
3,11,2011,9:34,106133,61039
3,11,2011,9:45,106133,61039
3,12,2011,7:32,106133,46440
3,12,2011,7:35,106133,46440
3,12,2011,7:36,106133,46440
3,12,2011,7:37,106133,46440
3,12,2011,7:38,106133,46440
3,12,2011,7:40,106133,46440
3,12,2011,7:41,106133,46440
3,12,2011,7:42,106133,46440
3,12,2011,7:43,106133,46440
3,12,2011,7:44,106133,46440
3,12,2011,7:45,106133,46440
3,12,2011,7:46,106133,46440
3,12,2011,7:48,106133,46440
3,12,2011,7:49,106133,46440
3,12,2011,7:50,106133,46440
3,12,2011,7:52,106133,46440
3,12,2011,7:52,106133,46440
3,12,2011,7:53,106133,46440
3,12,2011,7:54,106133,46440
3,12,2011,7:55,106133,46440
3,12,2011,7:56,106133,46440
3,12,2011,7:57,106133,46440
3,12,2011,7:58,106133,46440
3,12,2011,7:58,106133,46440
3,12,2011,7:59,106133,46440
3,12,2011,8:01,106133,46440
3,12,2011,8:02,106133,46440
3,12,2011,8:03,106133,46440
3,12,2011,8:05,106133,46440
3,12,2011,8:06,106133,46440
3,12,2011,8:08,106133,46440
3,12,2011,8:09,106133,46440
3,12,2011,8:10,106133,46440
3,12,2011,8:11,106133,46440
3,12,2011,8:12,106133,46440
3,12,2011,8:13,106133,46440
3,12,2011,8:14,106133,46440
3,12,2011,8:15,106133,46440
3,12,2011,8:16,106133,46440
3,12,2011,8:17,106133,46440
3,12,2011,8:18,106133,46440
3,12,2011,8:19,106133,46440
3,12,2011,8:21,106133,46440
3,12,2011,8:22,106133,46440
3,12,2011,8:24,106133,46440
3,12,2011,8:25,106133,46440
3,12,2011,8:26,106133,46440
3,12,2011,8:28,106133,46440
3,12,2011,8:28,106133,46440
3,12,2011,8:33,106133,46440
3,12,2011,8:34,106133,46440
3,14,2011,20:54,106133,61022
3,14,2011,20:55,106133,61022
3,14,2011,20:57,106133,61022
3,14,2011,20:58,106133,61022
3,14,2011,20:59,106133,61022
3,14,2011,21:00,106133,61022
3,14,2011,21:01,106133,61022
3,14,2011,21:02,106133,61022
3,14,2011,21:03,106133,61022
3,14,2011,21:04,106133,61022
3,14,2011,21:06,106133,61022
3,14,2011,21:07,106133,61022
3,14,2011,21:08,106133,61022
3,14,2011,21:09,106133,61022
3,14,2011,21:10,106133,61022
3,14,2011,21:12,106133,61022
3,14,2011,21:13,106133,61022
3,14,2011,21:14,106133,61022
3,14,2011,21:16,106133,61022
3,14,2011,21:17,106133,61022
3,14,2011,21:18,106133,61022
3,14,2011,21:19,106133,61022
3,14,2011,21:20,106133,61022
3,14,2011,21:21,106133,61022
3,14,2011,21:22,106133,61022
3,14,2011,21:23,106133,61022
3,14,2011,21:24,106133,61022
3,14,2011,21:25,106133,61022
3,14,2011,21:26,106133,61022
3,14,2011,21:29,106133,61022
3,14,2011,21:31,106133,61022
3,15,2011,13:23,106133,46439
3,15,2011,13:24,106133,46439
3,15,2011,13:25,106133,46439
3,15,2011,13:26,106133,46439
3,15,2011,13:27,106133,46439
3,15,2011,13:28,106133,46439
3,15,2011,13:29,106133,46439
3,15,2011,13:30,106133,46439
3,15,2011,13:31,106133,46439
3,15,2011,13:33,106133,46439
3,15,2011,13:34,106133,46439
3,15,2011,13:35,106133,46439
3,15,2011,13:36,106133,46439
3,15,2011,13:37,106133,46439
3,15,2011,13:38,106133,46439
3,15,2011,13:39,106133,46439
3,15,2011,13:39,106133,46439
3,15,2011,13:41,106133,46439
3,15,2011,13:41,106133,46439
3,15,2011,13:42,106133,46439
3,15,2011,13:43,106133,46439
3,15,2011,13:44,106133,46439
3,15,2011,13:45,106133,46439
3,15,2011,13:46,106133,46439
3,15,2011,13:47,106133,46439
3,15,2011,13:48,106133,46439
3,15,2011,13:49,106133,46439
3,15,2011,13:50,106133,46439
3,15,2011,13:51,106133,46439
3,15,2011,13:51,106133,46439
3,15,2011,13:52,106133,46439
3,15,2011,13:52,106133,46439
3,15,2011,13:53,106133,46439
3,15,2011,13:54,106133,46439
3,15,2011,13:54,106133,46439
3,15,2011,13:55,106133,46439
3,15,2011,13:57,106133,46439
3,15,2011,13:58,106133,46439
3,15,2011,13:58,106133,46439
3,15,2011,13:59,106133,46439
3,15,2011,14:00,106133,46439
3,15,2011,14:01,106133,46439
3,15,2011,14:02,106133,46439
3,15,2011,14:04,106133,46439
3,15,2011,14:05,106133,46439
3,15,2011,14:06,106133,46439
3,15,2011,14:07,106133,46439
3,15,2011,14:09,106133,46439
3,15,2011,14:10,106133,46439
3,15,2011,14:11,106133,46439
3,15,2011,14:12,106133,46439
3,15,2011,14:13,106133,46439
3,15,2011,14:15,106133,46439
3,15,2011,14:16,106133,46439
3,15,2011,14:16,106133,46439
3,15,2011,14:17,106133,46439
3,15,2011,14:19,106133,46439
3,15,2011,14:20,106133,46439
3,15,2011,14:21,106133,46439
3,15,2011,14:21,106133,46439
3,15,2011,14:22,106133,46439
3,15,2011,14:24,106133,46439
3,15,2011,14:25,106133,46439
3,15,2011,14:27,106133,46439
3,15,2011,14:28,106133,46439
3,15,2011,14:31,106133,46439
3,15,2011,14:32,106133,46439
3,15,2011,14:34,106133,46439
3,15,2011,14:35,106133,46439
3,15,2011,14:36,106133,46439
3,15,2011,14:37,106133,46439
3,15,2011,14:38,106133,46439
3,15,2011,14:39,106133,46439
3,15,2011,14:41,106133,46439
3,15,2011,14:42,106133,46439
3,15,2011,14:43,106133,46439
3,15,2011,14:44,106133,46439
3,15,2011,14:45,106133,46439
3,15,2011,14:47,106133,46439
3,15,2011,14:48,106133,46439
3,15,2011,14:48,106133,46439
3,15,2011,14:49,106133,46439
3,15,2011,14:49,106133,46439
3,15,2011,14:50,106133,46439
3,15,2011,14:51,106133,46439
3,15,2011,14:53,106133,46439
3,15,2011,14:54,106133,46439
3,15,2011,14:55,106133,46439
3,15,2011,14:56,106133,46439
3,15,2011,14:57,106133,46439
3,15,2011,14:58,106133,46439
3,15,2011,14:59,106133,46439
3,15,2011,15:00,106133,46439
3,15,2011,15:01,106133,46439
3,15,2011,15:04,106133,46439
3,15,2011,15:05,106133,46439
3,15,2011,15:06,106133,46439
3,15,2011,15:06,106133,46439
3,15,2011,15:09,106133,46439
3,15,2011,15:10,106133,46439
3,15,2011,15:11,106133,46439
3,15,2011,15:12,106133,46439
3,15,2011,15:16,106133,46439
3,15,2011,15:43,106133,46439
3,15,2011,15:47,106133,46439
3,15,2011,16:16,106133,46439
3,15,2011,16:17,106133,46439
3,15,2011,16:33,106133,46439
3,15,2011,16:35,106133,46439
3,15,2011,16:40,106133,46439
3,15,2011,16:44,106133,46439
3,15,2011,16:45,106133,46439
3,15,2011,16:46,106133,46439
3,15,2011,16:47,106133,46439
3,15,2011,16:49,106133,46439
3,15,2011,16:51,106133,46439
3,15,2011,16:52,106133,46439
3,15,2011,16:55,106133,46439
3,15,2011,16:55,106133,46439
3,15,2011,16:58,106133,46439
3,15,2011,16:59,106133,46439
3,15,2011,17:04,106133,46439
3,15,2011,17:10,106133,46439
3,15,2011,17:11,106133,46439
3,15,2011,17:12,106133,46439
3,15,2011,17:14,106133,46439
3,15,2011,17:15,106133,46439
3,15,2011,17:16,106133,46439
3,15,2011,17:18,106133,46439
3,15,2011,17:21,106133,46439
3,15,2011,17:22,106133,46439
3,15,2011,17:24,106133,46439
3,15,2011,17:25,106133,46439
3,15,2011,17:26,106133,46439
3,15,2011,17:27,106133,46439
3,15,2011,17:28,106133,46439
3,15,2011,17:29,106133,46439
3,15,2011,17:29,106133,46439
3,15,2011,17:30,106133,46439
3,15,2011,17:31,106133,46439
3,15,2011,17:32,106133,46439
3,15,2011,17:33,106133,46439
3,15,2011,17:34,106133,46439
3,15,2011,17:35,106133,46439
3,15,2011,17:35,106133,46439
3,15,2011,17:36,106133,46439
3,15,2011,17:37,106133,46439
3,15,2011,17:38,106133,46439
3,15,2011,17:39,106133,46439
3,15,2011,17:40,106133,46439
3,15,2011,17:41,106133,46439
3,15,2011,17:43,106133,46439
3,15,2011,17:44,106133,46439
3,15,2011,17:46,106133,46439
3,15,2011,17:47,106133,46439
3,15,2011,17:48,106133,46439
3,15,2011,17:49,106133,46439
3,15,2011,17:50,106133,46439
3,15,2011,17:51,106133,46439
3,15,2011,17:57,106133,46439
3,15,2011,17:58,106133,46439
3,15,2011,17:58,106133,46439
3,15,2011,17:59,106133,46439
3,15,2011,18:00,106133,46439
3,15,2011,18:01,106133,46439
3,15,2011,18:04,106133,46439
3,15,2011,18:04,106133,46439
3,15,2011,18:05,106133,46439
3,15,2011,18:48,106133,46439
3,15,2011,18:49,106133,46439
3,15,2011,18:50,106133,46439
3,15,2011,18:52,106133,46439
3,15,2011,18:53,106133,46439
3,15,2011,18:55,106133,46439
3,15,2011,18:59,106133,46439
3,15,2011,19:00,106133,46439
3,15,2011,19:02,106133,46439
3,15,2011,19:11,106133,46439
3,15,2011,19:29,106133,46439
3,15,2011,19:30,106133,46439
3,15,2011,19:32,106133,46439
3,15,2011,19:33,106133,46439
3,15,2011,19:33,106133,46439
3,15,2011,19:34,106133,46439
3,15,2011,19:35,106133,46439
3,15,2011,19:35,106133,46439
3,15,2011,19:37,106133,46439
3,15,2011,19:38,106133,46439
3,15,2011,19:39,106133,46439
3,15,2011,19:41,106133,46439
3,15,2011,19:42,106133,46439
3,15,2011,19:43,106133,46439
3,15,2011,19:44,106133,46439
3,15,2011,19:45,106133,46439
3,15,2011,19:45,106133,46439
3,15,2011,19:46,106133,46439
3,15,2011,19:48,106133,46439
3,15,2011,19:51,106133,46439
3,15,2011,19:52,106133,46439
3,15,2011,19:55,106133,46439
3,15,2011,19:56,106133,46439
3,15,2011,19:57,106133,46439
3,15,2011,19:58,106133,46439
3,15,2011,19:59,106133,46439
3,15,2011,20:01,106133,46439
3,15,2011,20:02,106133,46439
