Month,Day,Year,Time,Receiver,Transmitter
3,18,2011,11:59,100946,46159
3,18,2011,12:08,100946,46159
3,18,2011,12:10,100946,46159
3,18,2011,12:12,100946,46159
3,18,2011,12:13,100946,46159
3,19,2011,23:42,100946,46147
3,19,2011,23:45,100946,46147
3,19,2011,23:46,100946,46147
3,19,2011,23:51,100946,46147
3,21,2011,14:18,100946,46147
3,21,2011,14:19,100946,46147
9,21,2011,1:14,100951,46156
9,21,2011,1:15,100951,46156
9,21,2011,1:16,100951,46156
9,21,2011,1:19,100951,46156
9,21,2011,1:20,100951,46156
9,21,2011,1:21,100951,46156
9,21,2011,1:23,100951,46156
9,21,2011,1:25,100951,46156
9,21,2011,1:29,100951,46156
9,21,2011,1:32,100951,46156
9,21,2011,1:34,100951,46156
9,21,2011,1:36,100951,46156
9,21,2011,1:37,100951,46156
9,21,2011,1:38,100951,46156
9,21,2011,1:39,100951,46156
9,21,2011,1:40,100951,46156
9,21,2011,1:42,100951,46156
9,21,2011,1:44,100951,46156
9,21,2011,1:45,100951,46156
9,21,2011,1:47,100951,46156
9,21,2011,1:49,100951,46156
9,21,2011,1:51,100951,46156
9,21,2011,1:53,100951,46156
9,21,2011,1:54,100951,46156
9,21,2011,1:55,100951,46156
9,21,2011,1:56,100951,46156
9,21,2011,1:58,100951,46156
9,21,2011,1:59,100951,46156
9,21,2011,2:01,100951,46156
9,21,2011,2:02,100951,46156
9,21,2011,2:03,100951,46156
9,21,2011,2:04,100951,46156
9,21,2011,2:06,100951,46156
9,21,2011,2:07,100951,46156
9,21,2011,2:09,100951,46156
9,21,2011,2:11,100951,46156
9,21,2011,2:12,100951,46156
9,21,2011,2:15,100951,46156
9,21,2011,2:17,100951,46156
9,21,2011,2:18,100951,46156
9,21,2011,2:19,100951,46156
9,21,2011,2:21,100951,46156
9,21,2011,2:22,100951,46156
9,21,2011,2:24,100951,46156
9,21,2011,2:25,100951,46156
9,21,2011,2:26,100951,46156
9,21,2011,2:27,100951,46156
9,21,2011,2:28,100951,46156
9,21,2011,2:30,100951,46156
9,21,2011,2:32,100951,46156
9,21,2011,7:03,100951,46156
9,21,2011,7:04,100951,46156
9,21,2011,7:05,100951,46156
9,21,2011,7:07,100951,46156
9,21,2011,7:08,100951,46156
9,21,2011,7:09,100951,46156
9,21,2011,7:10,100951,46156
9,21,2011,7:11,100951,46156
9,21,2011,7:12,100951,46156
9,21,2011,7:14,100951,46156
9,21,2011,7:16,100951,46156
9,21,2011,7:18,100951,46156
9,21,2011,7:19,100951,46156
9,21,2011,7:21,100951,46156
9,21,2011,7:23,100951,46156
9,21,2011,7:24,100951,46156
9,21,2011,7:26,100951,46156
9,21,2011,7:28,100951,46156
9,21,2011,7:29,100951,46156
9,21,2011,7:31,100951,46156
9,21,2011,7:35,100951,46156
9,21,2011,7:43,100951,46156
9,23,2011,18:46,100951,46154
9,23,2011,18:52,100951,46154
9,23,2011,18:54,100951,46154
9,23,2011,18:56,100951,46154
9,23,2011,18:58,100951,46154
9,23,2011,19:00,100951,46154
9,23,2011,19:03,100951,46154
9,23,2011,19:04,100951,46154
9,23,2011,19:06,100951,46154
9,23,2011,19:08,100951,46154
9,23,2011,19:10,100951,46154
9,23,2011,19:11,100951,46154
9,23,2011,19:13,100951,46154
9,23,2011,19:15,100951,46154
9,23,2011,19:17,100951,46154
9,23,2011,19:19,100951,46154
9,23,2011,19:21,100951,46154
9,23,2011,19:23,100951,46154
9,23,2011,19:26,100951,46154
9,23,2011,19:30,100951,46154
9,23,2011,19:31,100951,46154
9,23,2011,19:33,100951,46154
10,12,2011,14:05,100951,6514
10,12,2011,14:17,100951,6514
10,12,2011,14:20,100951,6514
10,12,2011,14:22,100951,6514
10,12,2011,14:24,100951,6514
10,12,2011,14:26,100951,6514
10,12,2011,14:29,100951,6514
10,12,2011,14:32,100951,6514
10,12,2011,14:35,100951,6514
10,12,2011,14:41,100951,6514
10,12,2011,14:52,100951,6514
10,12,2011,14:55,100951,6514
10,12,2011,14:57,100951,6514
10,12,2011,15:00,100951,6514
10,12,2011,15:03,100951,6514
10,12,2011,15:05,100951,6514
10,12,2011,15:08,100951,6514
10,12,2011,15:19,100951,6514
10,12,2011,15:33,100951,6514
10,12,2011,15:35,100951,6514
10,12,2011,15:37,100951,6514
10,12,2011,15:39,100951,6514
10,12,2011,15:43,100951,6514
10,12,2011,15:48,100951,6514
10,12,2011,15:50,100951,6514
10,12,2011,15:52,100951,6514
10,12,2011,15:54,100951,6514
10,12,2011,15:59,100951,6514
10,12,2011,16:03,100951,6514
10,12,2011,16:06,100951,6514
10,12,2011,16:14,100951,6514
10,12,2011,16:17,100951,6514
10,12,2011,16:19,100951,6514
10,12,2011,16:25,100951,6514
10,12,2011,16:28,100951,6514
10,12,2011,16:34,100951,6514
10,12,2011,16:37,100951,6514
10,12,2011,16:39,100951,6514
10,12,2011,16:47,100951,6514
10,12,2011,17:56,100951,6514
10,12,2011,18:04,100951,6514
10,12,2011,18:06,100951,6514
10,12,2011,18:09,100951,6514
10,12,2011,18:12,100951,6514
10,12,2011,18:15,100951,6514
10,12,2011,18:19,100951,6514
10,12,2011,18:35,100951,6514
10,12,2011,18:55,100951,6514
10,12,2011,18:59,100951,6514
10,12,2011,19:03,100951,6514
10,12,2011,19:19,100951,6514
10,12,2011,19:23,100951,6514
10,12,2011,19:25,100951,6514
