Month,Day,Year,Time,Receiver,Transmitter
7,26,2011,9:13,114399,1
4,4,2012,23:28,114399,19298
4,4,2012,23:32,114399,19298
4,4,2012,23:36,114399,19298
4,4,2012,23:39,114399,19298
4,4,2012,23:42,114399,19298
4,4,2012,23:45,114399,19298
4,4,2012,23:47,114399,19298
4,4,2012,23:49,114399,19298
4,4,2012,23:52,114399,19298
4,4,2012,23:56,114399,19298
4,5,2012,11:45,114399,19298
4,5,2012,11:48,114399,19298
4,5,2012,11:50,114399,19298
4,5,2012,11:52,114399,19298
4,5,2012,11:55,114399,19298
4,5,2012,11:58,114399,19298
4,5,2012,12:00,114399,19298
4,5,2012,12:03,114399,19298
4,5,2012,12:06,114399,19298
4,5,2012,12:10,114399,19298
4,5,2012,12:14,114399,19298
4,11,2012,20:00,114399,19298
4,11,2012,20:03,114399,19298
4,11,2012,20:05,114399,19298
4,11,2012,20:08,114399,19298
4,11,2012,20:11,114399,19298
4,11,2012,20:13,114399,19298
4,11,2012,20:16,114399,19298
4,11,2012,20:20,114399,19298
4,11,2012,20:23,114399,19298
4,11,2012,20:26,114399,19298
4,11,2012,20:30,114399,19298
4,11,2012,20:32,114399,19298
4,11,2012,20:36,114399,19298
4,11,2012,20:38,114399,19298
4,11,2012,20:41,114399,19298
4,11,2012,20:44,114399,19298
4,11,2012,20:47,114399,19298
4,11,2012,20:50,114399,19298
4,11,2012,20:52,114399,19298
4,11,2012,20:54,114399,19298
4,11,2012,20:57,114399,19298
4,11,2012,20:59,114399,19298
4,11,2012,21:02,114399,19298
4,11,2012,21:04,114399,19298
4,11,2012,21:07,114399,19298
4,11,2012,21:11,114399,19298
4,11,2012,21:14,114399,19298
4,11,2012,21:18,114399,19298
4,11,2012,21:20,114399,19298
4,11,2012,21:22,114399,19298
4,11,2012,21:25,114399,19298
4,11,2012,21:29,114399,19298
4,11,2012,21:33,114399,19298
4,11,2012,21:36,114399,19298
4,11,2012,21:38,114399,19298
