Month,Day,Year,River,Telemetry_Tag,Transmitter,AnimalID
10,12,2011,PR,V9,2634,lone_6747
10,4,2011,PR,V9,2635,lone_6762
9,27,2011,PR,V9,2636,lone_9344
10,13,2011,PR,V9,2639,lone_9534
10,4,2011,PR,V9,2640,lone_6755
8,24,2011,OR,VEMCO,6505,15061
8,25,2011,OR,VEMCO,6506,lone_11361
8,25,2011,OR,VEMCO,6507,lone_11360
8,25,2011,OR,VEMCO,6508,lone_5997
8,25,2011,OR,VEMCO,6509,lone_5996
8,25,2011,OR,VEMCO,6512,lone_11362
8,25,2011,OR,VEMCO,6513,lone_5246
8,10,2011,OR,VEMCO,19298,lone_2817
8,10,2011,OR,V16,19300,9985
8,10,2011,OR,V16,19301,lone_5670
8,10,2011,OR,V16,19302,lone_5666
8,10,2011,OR,V16,19303,lone_8672
8,10,2011,OR,V16,19304,lone_8674
8,24,2011,OR,V16,19305,lone_1489
8,25,2011,OR,V16,19306,lone_5248
8,25,2011,OR,V16,19307,lone_7373
10,26,2011,AR,V16,29956,9497
10,26,2011,AR,V16,29957,lone_4459
10,26,2011,AR,V16,29958,lone_4460
11,1,2011,AR,V16,29959,15355
11,1,2011,AR,V16,29960,15170
11,1,2011,AR,V16,29961,lone_5089
11,1,2011,AR,V16,29962,lone_4989
11,2,2011,AR,V16,29963,lone_5094
11,2,2011,AR,V16,29964,lone_1051
11,2,2011,AR,V16,29965,15367
11,3,2011,AR,V16,29966,14993
11,9,2011,AR,V16,29967,lone_4448
10,4,2011,BR,V16,30528,lone_1387
10,6,2011,BR,V16,30529,14449
10,5,2011,BR,V16,30530,lone_997
10,6,2011,BR,V16,30531,14310
10,6,2011,BR,V16,30532,lone_4685
10,6,2011,BR,V16,30533,lone_7096
10,5,2011,BR,V16,30534,12135
10,6,2011,BR,V16,30535,lone_993
10,5,2011,BR,V16,30536,11845
10,4,2011,BR,V16,30537,lone_4684
10,5,2011,BR,V16,30538,lone_1389
10,4,2011,BR,V16,30539,12103
10,3,2011,BR,V16,30540,lone_1273
10,4,2011,BR,V16,30541,15032
10,3,2011,BR,V16,30542,lone_1274
10,3,2011,BR,V16,30543,lone_1275
10,3,2011,BR,V16,30544,lone_7098
10,3,2011,BR,V16,30545,lone_1276
10,3,2011,BR,V16,30546,14085
10,4,2011,BR,V16,30547,lone_1386
9,29,2011,YR,V16,30548,lone_6727
9,29,2011,YR,V16,30549,lone_5679
10,2,2011,YR,V16,30550,14292
10,2,2011,YR,V16,30551,lone_4012
10,6,2011,YR,V16,30552,lone_2916
10,6,2011,YR,V16,30553,lone_5827
10,7,2011,YR,V16,30554,14287
10,9,2011,YR,V16,30555,lone_8871
10,9,2011,YR,V16,30556,14247
10,10,2011,YR,V16,30557,lone_959
10,11,2011,YR,V16,30558,lone_10346
10,12,2011,YR,V16,30559,14139
10,12,2011,YR,V16,30560,lone_11814
10,3,2011,YR,V16,30561,lone_1145
10,3,2011,YR,V16,30562,lone_7626
10,4,2011,YR,V16,30563,lone_8550
10,4,2011,YR,V16,30564,lone_8551
10,5,2011,YR,V16,30565,lone_2947
10,5,2011,YR,V16,30566,lone_2949
10,12,2011,CR,V16,30567,lone_8966
10,12,2011,CR,V16,30568,12396
10,12,2011,CR,V16,30569,12132
10,12,2011,CR,V16,30570,lone_7375
10,12,2011,CR,V16,30571,lone_7376
10,12,2011,CR,V16,30572,lone_7377
10,12,2011,CR,V16,30573,lone_8961
10,13,2011,CR,V16,30574,15015
10,13,2011,CR,V16,30575,lone_8962
10,13,2011,CR,V16,30576,12347
10,13,2011,CR,V16,30577,lone_7379
10,13,2011,CR,V16,30578,10917
10,14,2011,CR,V16,30579,14998
10,13,2011,CR,V16,30580,lone_7378
10,14,2011,CR,V16,30581,10856
10,13,2011,CR,V16,30582,lone_7393
10,13,2011,CR,V16,30583,11574
10,13,2011,CR,V16,30584,lone_7391
10,12,2011,CR,V16,30585,lone_7384
10,12,2011,CR,V16,30586,12121
11,3,2011,PR,V13,30589,lone_9944
10,17,2011,ER,V16,30590,lone_47
