"vTagID","Date","System","FL_mm","asDate"
9466,"10/14/2008","Pascagoula",1890,"2008-10-14"
9459,"10/28/2008","Pascagoula",1570,"2008-10-28"
56351,"3/11/2009","Pearl",1540,"2009-03-11"
9474,"9/9/2009","Pascagoula",1350,"2009-09-09"
62675,"4/8/2010","Pearl",1730,"2010-04-08"
62676,"4/14/2010","Pearl",2000,"2010-04-14"
62668,"4/14/2010","Pearl",1530,"2010-04-14"
62661,"4/15/2010","Pearl",1670,"2010-04-15"
62669,"4/19/2010","Pearl",1660,"2010-04-19"
62667,"4/19/2010","Pearl",1740,"2010-04-19"
62263,"4/20/2010","Pearl",1650,"2010-04-20"
56347,"4/21/2010","Pearl",2150,"2010-04-21"
62662,"4/22/2010","Pearl",1860,"2010-04-22"
48400,"4/22/2010","Pearl",1660,"2010-04-22"
62264,"4/27/2010","Pearl",1680,"2010-04-27"
62673,"4/28/2010","Pearl",1610,"2010-04-28"
62672,"4/28/2010","Pearl",1990,"2010-04-28"
62671,"4/28/2010","Pearl",1630,"2010-04-28"
47987,"6/3/2010","Choctawhatchee",1330,"2010-06-03"
47988,"6/3/2010","Choctawhatchee",1290,"2010-06-03"
47989,"6/3/2010","Choctawhatchee",1380,"2010-06-03"
47990,"6/3/2010","Choctawhatchee",1280,"2010-06-03"
47991,"6/3/2010","Choctawhatchee",1390,"2010-06-03"
46429,"8/31/2010","Escambia",1350,"2010-08-31"
46431,"8/31/2010","Escambia",1380,"2010-08-31"
46435,"9/1/2010","Yellow",1740,"2010-09-01"
46428,"9/1/2010","Yellow",1870,"2010-09-01"
46433,"9/1/2010","Yellow",1280,"2010-09-01"
46437,"9/1/2010","Yellow",1380,"2010-09-01"
46439,"9/1/2010","Yellow",1330,"2010-09-01"
46432,"9/2/2010","Yellow",1400,"2010-09-02"
46434,"9/2/2010","Yellow",1630,"2010-09-02"
46436,"9/2/2010","Yellow",1270,"2010-09-02"
46438,"9/2/2010","Yellow",1330,"2010-09-02"
46454,"9/8/2010","Yellow",1510,"2010-09-08"
46456,"9/8/2010","Yellow",1780,"2010-09-08"
46457,"9/8/2010","Yellow",1320,"2010-09-08"
46449,"9/9/2010","Escambia",1450,"2010-09-09"
46452,"9/9/2010","Escambia",1900,"2010-09-09"
46446,"9/9/2010","Escambia",1270,"2010-09-09"
46447,"9/9/2010","Escambia",1450,"2010-09-09"
46448,"9/9/2010","Escambia",1350,"2010-09-09"
46450,"9/9/2010","Escambia",1320,"2010-09-09"
46451,"9/9/2010","Escambia",1500,"2010-09-09"
46453,"9/9/2010","Escambia",1610,"2010-09-09"
46455,"9/9/2010","Escambia",1390,"2010-09-09"
46420,"9/10/2010","Yellow",1530,"2010-09-10"
46419,"9/10/2010","Yellow",1380,"2010-09-10"
46421,"9/10/2010","Yellow",1650,"2010-09-10"
46423,"9/10/2010","Yellow",1880,"2010-09-10"
46425,"9/10/2010","Yellow",1740,"2010-09-10"
46427,"9/10/2010","Yellow",1470,"2010-09-10"
46422,"9/14/2010","Escambia",1500,"2010-09-14"
46424,"9/14/2010","Escambia",1700,"2010-09-14"
46426,"9/14/2010","Escambia",1420,"2010-09-14"
46444,"9/14/2010","Escambia",1620,"2010-09-14"
46573,"9/27/2010","Pascagoula",1385,"2010-09-27"
46149,"9/27/2010","Suwannee",1708,"2010-09-27"
46150,"9/27/2010","Suwannee",1740,"2010-09-27"
46151,"9/27/2010","Suwannee",1630,"2010-09-27"
46152,"9/27/2010","Suwannee",1668,"2010-09-27"
46153,"9/27/2010","Suwannee",1520,"2010-09-27"
46154,"9/27/2010","Suwannee",1452,"2010-09-27"
46155,"9/27/2010","Suwannee",1430,"2010-09-27"
46156,"9/27/2010","Suwannee",1660,"2010-09-27"
46157,"9/27/2010","Suwannee",1436,"2010-09-27"
46158,"9/27/2010","Suwannee",1714,"2010-09-27"
46159,"9/27/2010","Suwannee",1736,"2010-09-27"
46160,"9/27/2010","Suwannee",1398,"2010-09-27"
46161,"9/27/2010","Suwannee",1424,"2010-09-27"
45717,"9/28/2010","Pearl",1625,"2010-09-28"
45746,"9/28/2010","Pearl",1320,"2010-09-28"
46443,"9/28/2010","Yellow",1550,"2010-09-28"
46418,"9/30/2010","Yellow",1430,"2010-09-30"
46442,"9/30/2010","Yellow",1300,"2010-09-30"
46445,"9/30/2010","Yellow",1450,"2010-09-30"
46142,"9/30/2010","Suwannee",1572,"2010-09-30"
46143,"9/30/2010","Suwannee",1516,"2010-09-30"
46144,"9/30/2010","Suwannee",1404,"2010-09-30"
46145,"9/30/2010","Suwannee",1530,"2010-09-30"
46146,"9/30/2010","Suwannee",1470,"2010-09-30"
46147,"9/30/2010","Suwannee",1618,"2010-09-30"
46148,"9/30/2010","Suwannee",1372,"2010-09-30"
46441,"10/1/2010","Yellow",1330,"2010-10-01"
46217,"10/1/2010","Yellow",1400,"2010-10-01"
