"","Month","Day","Year","Receiver","Transmitter","River","Receiver.Transmitter"
"43773",10,17,2010,"110873","46573","P","110873.46573"
"43782",10,18,2010,"110873","46573","P","110873.46573"
"43882",10,21,2010,"110873","46573","P","110873.46573"
"80269",10,14,2010,"100935","46148","S","100935.46148"
"80305",10,15,2010,"100935","46148","S","100935.46148"
"80345",10,16,2010,"100935","46154","S","100935.46154"
"80572",10,16,2010,"100935","46147","S","100935.46147"
"80726",10,17,2010,"100935","46147","S","100935.46147"
"80778",10,17,2010,"100935","46154","S","100935.46154"
"80868",10,18,2010,"100935","46160","S","100935.46160"
"80878",10,18,2010,"100935","46148","S","100935.46148"
"80880",10,19,2010,"100935","46148","S","100935.46148"
"81013",10,19,2010,"100935","46142","S","100935.46142"
"81034",10,22,2010,"100935","46156","S","100935.46156"
"81046",10,22,2010,"100935","46143","S","100935.46143"
"81087",10,24,2010,"100935","46161","S","100935.46161"
"81116",10,25,2010,"100935","46161","S","100935.46161"
"81466",10,25,2010,"100935","46150","S","100935.46150"
"81472",10,26,2010,"100935","46151","S","100935.46151"
"81669",10,27,2010,"100935","46159","S","100935.46159"
"81839",10,28,2010,"100935","46159","S","100935.46159"
"82720",10,28,2010,"100935","46144","S","100935.46144"
"82767",10,29,2010,"100935","46144","S","100935.46144"
"83840",10,30,2010,"100935","46159","S","100935.46159"
"83903",10,31,2010,"100935","46159","S","100935.46159"
"2226541",10,13,2010,"111387","47990","C","111387.47990"
"222757",10,17,2010,"111387","45858","C","111387.45858"
"222803",10,18,2010,"111387","45858","C","111387.45858"
"223005",10,19,2010,"111387","47990","C","111387.47990"
"223050",10,25,2010,"111387","45858","C","111387.45858"
"1332777",10,18,2010,"106622","45717","L","106622.45717"
"1332810",10,23,2010,"106622","45719","L","106622.45719"
"5448101",10,3,2010,"110875","46573","P","110875.46573"
"5509101",10,4,2010,"110875","46573","P","110875.46573"
"5660101",10,7,2010,"110875","46573","P","110875.46573"
"5693101",10,10,2010,"110875","46573","P","110875.46573"
"5761101",10,11,2010,"110875","46573","P","110875.46573"
"5883101",10,31,2010,"110875","46215","P","110875.46215"
"44119",11,3,2010,"110871","46215","P","110871.46215"
"44346",11,5,2010,"110871","46215","P","110871.46215"
"84060",11,1,2010,"100935","46159","S","100935.46159"
"84076",11,2,2010,"100935","46159","S","100935.46159"
"84092",11,3,2010,"100935","46158","S","100935.46158"
"84118",11,3,2010,"100935","46157","S","100935.46157"
"84153",11,4,2010,"100935","46157","S","100935.46157"
"84176",11,4,2010,"100935","46153","S","100935.46153"
"84182",11,4,2010,"100935","46155","S","100935.46155"
"84193",11,5,2010,"100935","46155","S","100935.46155"
"84337",11,5,2010,"100935","46152","S","100935.46152"
"84354",11,6,2010,"100935","46152","S","100935.46152"
"84413",11,7,2010,"100935","46146","S","100935.46146"
"84424",11,9,2010,"100935","46145","S","100935.46145"
"84470",11,10,2010,"100935","46145","S","100935.46145"
"223114",11,4,2010,"111387","46041","C","111387.46041"
"223118",11,5,2010,"111387","46191","C","111387.46191"
"223128",11,5,2010,"111387","46040","C","111387.46040"
"223140",11,5,2010,"111387","46041","C","111387.46041"
"223149",11,6,2010,"111387","47988","C","111387.47988"
"223166",11,7,2010,"111387","45867","C","111387.45867"
"223176",11,7,2010,"111387","45857","C","111387.45857"
"223302",11,8,2010,"111387","46187","C","111387.46187"
"223346",11,8,2010,"111387","45859","C","111387.45859"
"223374",11,9,2010,"111387","46187","C","111387.46187"
"223433",11,9,2010,"111387","46188","C","111387.46188"
"223544",11,9,2010,"111387","47989","C","111387.47989"
"223589",11,9,2010,"111387","46189","C","111387.46189"
"223592",11,9,2010,"111387","46192","C","111387.46192"
"223670",11,9,2010,"111387","46045","C","111387.46045"
"223981",11,10,2010,"111387","46192","C","111387.46192"
"223984",11,10,2010,"111387","46188","C","111387.46188"
"224139",11,10,2010,"111387","45866","C","111387.45866"
"224141",11,10,2010,"111387","46043","C","111387.46043"
"224558",11,10,2010,"111387","46033","C","111387.46033"
"225303",11,10,2010,"111387","46236","C","111387.46236"
"225657",11,11,2010,"111387","46033","C","111387.46033"
"225660",11,11,2010,"111387","46043","C","111387.46043"
"225663",11,11,2010,"111387","46236","C","111387.46236"
"226345",11,12,2010,"111387","46033","C","111387.46033"
"226655",11,12,2010,"111387","45855","C","111387.45855"
"227130",11,13,2010,"111387","45863","C","111387.45863"
"227297",11,13,2010,"111387","46188","C","111387.46188"
"227309",11,13,2010,"111387","46045","C","111387.46045"
"227310",11,13,2010,"111387","45865","C","111387.45865"
"227432",11,13,2010,"111387","46033","C","111387.46033"
"227990",11,13,2010,"111387","45855","C","111387.45855"
"228073",11,14,2010,"111387","45855","C","111387.45855"
"228075",11,14,2010,"111387","45865","C","111387.45865"
