"vTagID","Date","System","FL_mm","asDate","Year","Month","Day"
9468,"4/2/2008","Pascagoula",780,"2008-04-02","2008","04","02"
9466,"10/14/2008","Pascagoula",1890,"2008-10-14","2008","10","14"
9464,"10/24/2008","Pascagoula",870,"2008-10-24","2008","10","24"
9469,"10/28/2008","Pascagoula",1100,"2008-10-28","2008","10","28"
9463,"10/28/2008","Pascagoula",740,"2008-10-28","2008","10","28"
9459,"10/28/2008","Pascagoula",1570,"2008-10-28","2008","10","28"
9460,"3/11/2009","Pascagoula",960,"2009-03-11","2009","03","11"
9474,"9/9/2009","Pascagoula",1350,"2009-09-09","2009","09","09"
46436,"9/2/2010","Yellow",1270,"2010-09-02","2010","09","02"
46574,"9/9/2010","Pascagoula",530,"2010-09-09","2010","09","09"
46419,"9/10/2010","Yellow",1380,"2010-09-10","2010","09","10"
46422,"9/14/2010","Escambia",1500,"2010-09-14","2010","09","14"
46444,"9/14/2010","Escambia",1620,"2010-09-14","2010","09","14"
46149,"9/27/2010","Suwannee",1708,"2010-09-27","2010","09","27"
45766,"10/6/2010","Yellow",1830,"2010-10-06","2010","10","06"
46123,"10/6/2010","Yellow",1760,"2010-10-06","2010","10","06"
46171,"10/6/2010","Yellow",1500,"2010-10-06","2010","10","06"
21534,"11/3/2010","Pascagoula",870,"2010-11-03","2010","11","03"
19301,"8/10/2011","Ochlockonee",1620,"2011-08-10","2011","08","10"
19304,"8/10/2011","Ochlockonee",1440,"2011-08-10","2011","08","10"
6512,"8/26/2011","Ochlockonee",1470,"2011-08-26","2011","08","26"
30540,"10/3/2011","Yellow",1280,"2011-10-03","2011","10","03"
30544,"10/3/2011","Yellow",1320,"2011-10-03","2011","10","03"
30546,"10/3/2011","Yellow",1610,"2011-10-03","2011","10","03"
30529,"10/6/2011","Yellow",1800,"2011-10-06","2011","10","06"
30531,"10/6/2011","Yellow",1690,"2011-10-06","2011","10","06"
305082,"10/13/2011","Choctawhatchee",1320,"2011-10-13","2011","10","13"
22918,"10/13/2011","Escambia",1310,"2011-10-13","2011","10","13"
31752,"10/14/2011","Choctawhatchee",1260,"2011-10-14","2011","10","14"
9746,"11/2/2011","Apalachicola",1160,"2011-11-02","2011","11","02"
29862,"4/3/2012","Yellow",1360,"2012-04-03","2012","04","03"
9745,"4/23/2012","Apalachicola",1150,"2012-04-23","2012","04","23"
29836,"8/30/2012","Apalachicola",1460,"2012-08-30","2012","08","30"
29840,"8/31/2012","Apalachicola",1560,"2012-08-31","2012","08","31"
29845,"9/11/2012","Apalachicola",1450,"2012-09-11","2012","09","11"
29856,"9/11/2012","Yellow",1760,"2012-09-11","2012","09","11"
29863,"9/19/2012","Yellow",1520,"2012-09-19","2012","09","19"
29858,"9/20/2012","Yellow",1820,"2012-09-20","2012","09","20"
29875,"9/20/2012","Yellow",1810,"2012-09-20","2012","09","20"
28180,"10/6/2012","Choctawhatchee",1180,"2012-10-06","2012","10","06"
29914,"10/6/2012","Choctawhatchee",1700,"2012-10-06","2012","10","06"
30179,"6/20/2013","Pearl",740,"2013-06-20","2013","06","20"
6217,"7/10/2013","Pearl",503,"2013-07-10","2013","07","10"
6222,"7/11/2013","Pearl",428,"2013-07-11","2013","07","11"
21532,"11/6/2013","Pascagoula",704,"2013-11-06","2013","11","06"
45054,"6/25/2014","Pearl",609,"2014-06-25","2014","06","25"
45055,"6/25/2014","Pearl",604,"2014-06-25","2014","06","25"
45052,"6/25/2014","Pearl",583,"2014-06-25","2014","06","25"
21521,"10/23/2014","Pascagoula",880,"2014-10-23","2014","10","23"
2657,"11/5/2014","Pascagoula",674,"2014-11-05","2014","11","05"
9742,"4/28/2015","Apalachicola",1440,"2015-04-28","2015","04","28"
9744,"4/28/2015","Apalachicola",1400,"2015-04-28","2015","04","28"
45321,"4/28/2015","Apalachicola",1450,"2015-04-28","2015","04","28"
9738,"4/29/2015","Apalachicola",1550,"2015-04-29","2015","04","29"
9739,"4/30/2015","Apalachicola",1260,"2015-04-30","2015","04","30"
9741,"4/30/2015","Apalachicola",1430,"2015-04-30","2015","04","30"
9743,"4/30/2015","Apalachicola",1400,"2015-04-30","2015","04","30"
9740,"5/30/2015","Apalachicola",1700,"2015-05-30","2015","05","30"
22904,"6/4/2015","Escambia",1450,"2015-06-04","2015","06","04"
22903,"6/4/2015","Escambia",1720,"2015-06-04","2015","06","04"
22922,"6/10/2015","Escambia",1220,"2015-06-10","2015","06","10"
22908,"6/10/2015","Escambia",1300,"2015-06-10","2015","06","10"
22921,"6/10/2015","Escambia",1800,"2015-06-10","2015","06","10"
