"vTagID","Date","System","FL_mm","asDate","Year","Month","Day"
9468,"4/2/2008","Pascagoula",780,"2008-04-02","2008","04","02"
9464,"10/24/2008","Pascagoula",870,"2008-10-24","2008","10","24"
9469,"10/28/2008","Pascagoula",1100,"2008-10-28","2008","10","28"
9463,"10/28/2008","Pascagoula",740,"2008-10-28","2008","10","28"
9460,"3/11/2009","Pascagoula",960,"2009-03-11","2009","03","11"
46430,"9/2/2010","Yellow",1160,"2010-09-02","2010","09","02"
46569,"9/9/2010","Pascagoula",510,"2010-09-09","2010","09","09"
46574,"9/9/2010","Pascagoula",530,"2010-09-09","2010","09","09"
31785,"9/9/2010","Pascagoula",1060,"2010-09-09","2010","09","09"
46571,"9/13/2010","Pascagoula",570,"2010-09-13","2010","09","13"
45727,"9/28/2010","Pearl",1200,"2010-09-28","2010","09","28"
45765,"9/28/2010","Pearl",1210,"2010-09-28","2010","09","28"
45747,"9/30/2010","Pearl",1235,"2010-09-30","2010","09","30"
46216,"10/1/2010","Yellow",1210,"2010-10-01","2010","10","01"
45729,"10/7/2010","Pearl",1190,"2010-10-07","2010","10","07"
45749,"10/7/2010","Pearl",1130,"2010-10-07","2010","10","07"
46567,"10/7/2010","Pascagoula",1020,"2010-10-07","2010","10","07"
46034,"10/9/2010","Choctawhatchee",1140,"2010-10-09","2010","10","09"
46035,"10/9/2010","Choctawhatchee",890,"2010-10-09","2010","10","09"
46036,"10/9/2010","Choctawhatchee",1180,"2010-10-09","2010","10","09"
46039,"10/9/2010","Choctawhatchee",1210,"2010-10-09","2010","10","09"
46037,"10/11/2010","Choctawhatchee",1110,"2010-10-11","2010","10","11"
62408,"10/11/2010","Choctawhatchee",1080,"2010-10-11","2010","10","11"
45709,"10/13/2010","Escambia",1110,"2010-10-13","2010","10","13"
46042,"10/13/2010","Choctawhatchee",1200,"2010-10-13","2010","10","13"
46044,"10/13/2010","Choctawhatchee",1050,"2010-10-13","2010","10","13"
46047,"10/13/2010","Choctawhatchee",1050,"2010-10-13","2010","10","13"
45715,"10/14/2010","Escambia",1030,"2010-10-14","2010","10","14"
45761,"10/14/2010","Escambia",1200,"2010-10-14","2010","10","14"
46049,"10/14/2010","Choctawhatchee",990,"2010-10-14","2010","10","14"
46050,"10/14/2010","Choctawhatchee",1180,"2010-10-14","2010","10","14"
46051,"10/14/2010","Choctawhatchee",1040,"2010-10-14","2010","10","14"
46052,"10/14/2010","Choctawhatchee",1130,"2010-10-14","2010","10","14"
45739,"10/15/2010","Yellow",1210,"2010-10-15","2010","10","15"
45713,"10/19/2010","Escambia",1090,"2010-10-19","2010","10","19"
45726,"10/19/2010","Escambia",1210,"2010-10-19","2010","10","19"
45736,"10/19/2010","Escambia",1070,"2010-10-19","2010","10","19"
30187,"10/19/2010","Pascagoula",560,"2010-10-19","2010","10","19"
45655,"10/20/2010","Pascagoula",1140,"2010-10-20","2010","10","20"
45053,"10/29/2010","Pascagoula",930,"2010-10-29","2010","10","29"
45652,"11/3/2010","Pascagoula",535,"2010-11-03","2010","11","03"
45656,"11/3/2010","Pascagoula",1085,"2010-11-03","2010","11","03"
46568,"11/3/2010","Pascagoula",980,"2010-11-03","2010","11","03"
21534,"11/3/2010","Pascagoula",870,"2010-11-03","2010","11","03"
31795,"11/4/2010","Pascagoula",570,"2010-11-04","2010","11","04"
46570,"11/4/2010","Pascagoula",1020,"2010-11-04","2010","11","04"
30541,"4/12/2011","Escambia",1230,"2011-04-12","2011","04","12"
6505,"8/26/2011","Ochlockonee",950,"2011-08-26","2011","08","26"
6508,"8/26/2011","Ochlockonee",970,"2011-08-26","2011","08","26"
6509,"8/26/2011","Ochlockonee",980,"2011-08-26","2011","08","26"
6513,"8/26/2011","Ochlockonee",900,"2011-08-26","2011","08","26"
40497,"9/20/2011","Pascagoula",510,"2011-09-20","2011","09","20"
2636,"9/27/2011","Pascagoula",450,"2011-09-27","2011","09","27"
40498,"9/27/2011","Pascagoula",690,"2011-09-27","2011","09","27"
30543,"10/3/2011","Yellow",1220,"2011-10-03","2011","10","03"
30561,"10/3/2011","Yellow",1220,"2011-10-03","2011","10","03"
2635,"10/4/2011","Pascagoula",500,"2011-10-04","2011","10","04"
32282,"10/4/2011","Pascagoula",468,"2011-10-04","2011","10","04"
30169,"10/4/2011","Pascagoula",670,"2011-10-04","2011","10","04"
30536,"10/5/2011","Yellow",1230,"2011-10-05","2011","10","05"
30535,"10/6/2011","Yellow",1230,"2011-10-06","2011","10","06"
31730,"10/11/2011","Choctawhatchee",870,"2011-10-11","2011","10","11"
31731,"10/11/2011","Choctawhatchee",1230,"2011-10-11","2011","10","11"
31732,"10/11/2011","Choctawhatchee",1020,"2011-10-11","2011","10","11"
31733,"10/11/2011","Choctawhatchee",1040,"2011-10-11","2011","10","11"
31735,"10/11/2011","Choctawhatchee",950,"2011-10-11","2011","10","11"
31737,"10/12/2011","Choctawhatchee",1230,"2011-10-12","2011","10","12"
31738,"10/12/2011","Choctawhatchee",960,"2011-10-12","2011","10","12"
31739,"10/12/2011","Choctawhatchee",670,"2011-10-12","2011","10","12"
31740,"10/12/2011","Choctawhatchee",1150,"2011-10-12","2011","10","12"
31742,"10/12/2011","Choctawhatchee",910,"2011-10-12","2011","10","12"
31743,"10/12/2011","Choctawhatchee",1200,"2011-10-12","2011","10","12"
