"vTagID","Date","System","FL_mm","asDate","Year","Month","Day"
9468,"4/2/2008","Pascagoula",780,"2008-04-02","2008","04","02"
9464,"10/24/2008","Pascagoula",870,"2008-10-24","2008","10","24"
9469,"10/28/2008","Pascagoula",1100,"2008-10-28","2008","10","28"
9463,"10/28/2008","Pascagoula",740,"2008-10-28","2008","10","28"
9460,"3/11/2009","Pascagoula",960,"2009-03-11","2009","03","11"
46574,"9/9/2010","Pascagoula",530,"2010-09-09","2010","09","09"
21534,"11/3/2010","Pascagoula",870,"2010-11-03","2010","11","03"
9746,"11/2/2011","Apalachicola",1160,"2011-11-02","2011","11","02"
9745,"4/23/2012","Apalachicola",1150,"2012-04-23","2012","04","23"
28180,"10/6/2012","Choctawhatchee",1180,"2012-10-06","2012","10","06"
30179,"6/20/2013","Pearl",740,"2013-06-20","2013","06","20"
6217,"7/10/2013","Pearl",503,"2013-07-10","2013","07","10"
6222,"7/11/2013","Pearl",428,"2013-07-11","2013","07","11"
21532,"11/6/2013","Pascagoula",704,"2013-11-06","2013","11","06"
45054,"6/25/2014","Pearl",609,"2014-06-25","2014","06","25"
45055,"6/25/2014","Pearl",604,"2014-06-25","2014","06","25"
45052,"6/25/2014","Pearl",583,"2014-06-25","2014","06","25"
21521,"10/23/2014","Pascagoula",880,"2014-10-23","2014","10","23"
2657,"11/5/2014","Pascagoula",674,"2014-11-05","2014","11","05"
22922,"6/10/2015","Escambia",1220,"2015-06-10","2015","06","10"
22909,"6/12/2015","Escambia",1100,"2015-06-12","2015","06","12"
21535,"9/25/2015","Pascagoula",1075,"2015-09-25","2015","09","25"
21533,"9/25/2015","Pascagoula",1208,"2015-09-25","2015","09","25"
45742,"10/5/2015","Pearl",1160,"2015-10-05","2015","10","05"
21542,"10/6/2015","Pascagoula",822,"2015-10-06","2015","10","06"
25411,"10/6/2015","Pearl",1025,"2015-10-06","2015","10","06"
25410,"10/6/2015","Pearl",1090,"2015-10-06","2015","10","06"
57442,"10/7/2015","Pascagoula",652,"2015-10-07","2015","10","07"
57444,"10/14/2015","Pascagoula",1158,"2015-10-14","2015","10","14"
21531,"10/14/2015","Pascagoula",1160,"2015-10-14","2015","10","14"
57443,"10/14/2015","Pascagoula",638,"2015-10-14","2015","10","14"
21523,"10/15/2015","Pascagoula",799,"2015-10-15","2015","10","15"
57445,"10/20/2015","Pascagoula",592,"2015-10-20","2015","10","20"
57447,"10/20/2015","Pascagoula",632,"2015-10-20","2015","10","20"
21522,"10/21/2015","Pascagoula",784,"2015-10-21","2015","10","21"
21520,"10/21/2015","Pascagoula",978,"2015-10-21","2015","10","21"
21528,"10/21/2015","Pascagoula",835,"2015-10-21","2015","10","21"
21525,"10/22/2015","Pascagoula",1010,"2015-10-22","2015","10","22"
20817,"5/24/2016","Choctawhatchee",1210,"2016-05-24","2016","05","24"
